id,name,lastname,price,flycode,typePassenger,statusFlight
1,CLARA,POURVEER,39387,FR56,ExecutiveClass,Demorado
2,SIANA,KALKHOVEN,29066,BA24,EconomyClass,En Horario
3,CODEE,BRUNET,13325,FR56,ExecutiveClass,Demorado
4,JANIFER,SUMPTON,28596,BR34,FirstClass,Demorado
5,BARRET,PAGEN,58368,GU23,FirstClass,Demorado
6,CADDRIC,DELGADO,64590,TU67,ExecutiveClass,Aterrizado
7,MIKKEL,FREDERICK,49974,TU67,FirstClass,Aterrizado
8,ARCHIBOLD,GOODIE,89076,BR34,EconomyClass,Demorado
9,NICHOL,MARVAL,11634,GU23,EconomyClass,Demorado
10,AURORA,BONSUL,34990,MM09,FirstClass,En Horario
11,MARRIS,ROOKESBY,57203,MM09,FirstClass,En Horario
12,ANITA,VANNE,63672,FR56,ExecutiveClass,En Horario
13,INGUNNA,GLADTBACH,72531,IB08,FirstClass,Aterrizado
14,PEYTER,ATRILL,53011,MM09,ExecutiveClass,Demorado
15,DYNA,MATTHEW,92038,MM09,EconomyClass,En Horario
16,ISIDORE,MULVENNA,29854,GU23,FirstClass,Aterrizado
17,ZORAH,KENNEALY,65711,BA24,FirstClass,Aterrizado
18,BERGET,LERIGO,14120,MM09,ExecutiveClass,Aterrizado
19,CONSUELA,KEVERN,25041,TU67,EconomyClass,Aterrizado
20,BRANDI,CORBITT,74308,GU23,ExecutiveClass,Demorado
21,TIBOLD,HELLINGS,51271,GU23,ExecutiveClass,Demorado
22,MARGI,OVERTHROW,34655,BR34,ExecutiveClass,Aterrizado
23,HASTY,CHRISTOFFE,44177,FR56,FirstClass,Demorado
24,ESMA,WHEBELL,77976,BR34,FirstClass,Aterrizado
25,GLEDA,RENARD,84762,BR34,FirstClass,En Horario
26,WANDA,ROUNDING,88913,TU67,FirstClass,En Horario
27,BENEDICK,ROWLANDS,25507,GU23,FirstClass,Aterrizado
28,GERTRUDA,KEUNING,75875,BA24,FirstClass,En Horario
29,MARTI,AIERS,89527,MM09,ExecutiveClass,En Horario
30,JULINE,MELHUISH,68290,BR34,FirstClass,Aterrizado
31,VIKKI,BRAUNSTEIN,10922,MM09,FirstClass,Aterrizado
32,TEODOOR,HAUCKE,41999,FR56,ExecutiveClass,Demorado
33,EDAN,HANKARD,77488,TU67,FirstClass,Aterrizado
34,HEWIE,D'ANTONIO,53755,HY45,EconomyClass,Aterrizado
35,JOJO,DANELL,43506,BA24,ExecutiveClass,Demorado
36,RODOLFO,BROOMHALL,52848,FR56,ExecutiveClass,En Horario
37,YUMA,RAIMAN,58536,BR34,EconomyClass,Aterrizado
38,NERON,MONKS,80522,IB08,EconomyClass,Aterrizado
39,EUGENIUS,ENTRES,30899,HY45,EconomyClass,Aterrizado
40,PETRONILLA,OXBORROW,91094,TU67,FirstClass,Aterrizado
41,ALASTEIR,COOM,60644,GU23,FirstClass,Aterrizado
42,ATHENA,DUDDING,23680,IB08,ExecutiveClass,Aterrizado
43,MIA,MCKEARNEN,74642,FR56,EconomyClass,Aterrizado
44,XAVIER,CROOKSHANKS,83098,IB08,EconomyClass,Aterrizado
45,RENAE,FORBES,48423,FR56,EconomyClass,Demorado
46,JERRIE,SIMEOLI,11961,FR56,EconomyClass,En Horario
47,MAGGEE,CURNOW,59295,IB08,EconomyClass,Demorado
48,ELVIS,FIPP,65708,FR56,ExecutiveClass,Aterrizado
