id,name,lastname,price,flycode,typePassenger,statusFlight
6,Caddric,Delgado,64590,TU67,ExecutiveClass,Aterrizado
7,Mikkel,Frederick,49974,TU67,FirstClass,Aterrizado
13,Ingunna,Gladtbach,72531,IB08,FirstClass,Aterrizado
16,Isidore,Mulvenna,29854,GU23,FirstClass,Aterrizado
17,Zorah,Kennealy,65711,BA24,FirstClass,Aterrizado
18,Berget,Lerigo,14120,MM09,ExecutiveClass,Aterrizado
22,Margi,Overthrow,34655,BR34,ExecutiveClass,Aterrizado
24,Esma,Whebell,77976,BR34,FirstClass,Aterrizado
27,Benedick,Rowlands,25507,GU23,FirstClass,Aterrizado
30,Juline,Melhuish,68290,BR34,FirstClass,Aterrizado
31,Vikki,Braunstein,10922,MM09,FirstClass,Aterrizado
33,Edan,Hankard,77488,TU67,FirstClass,Aterrizado
40,Petronilla,Oxborrow,91094,TU67,FirstClass,Aterrizado
41,Alasteir,Coom,60644,GU23,FirstClass,Aterrizado
42,Athena,Dudding,23680,IB08,ExecutiveClass,Aterrizado
48,Elvis,Fipp,65708,FR56,ExecutiveClass,Aterrizado
51,Lexis,Blueman,12068,HY45,FirstClass,Aterrizado
54,Ekaterina,Cess,18995,HY45,FirstClass,Aterrizado
59,Lethia,Juzek,15372,IB08,FirstClass,Aterrizado
69,Jacklin,Batchelour,39930,MM09,ExecutiveClass,Aterrizado
77,Lewes,Eisenberg,28311,BA24,ExecutiveClass,Aterrizado
79,Sibbie,Croydon,98062,BR34,FirstClass,Aterrizado
83,Judy,Giraldez,34644,HY45,ExecutiveClass,Aterrizado
87,Jobie,Gregoletti,87976,BR34,ExecutiveClass,Aterrizado
100,Niels,Benasik,80203,HY45,ExecutiveClass,Aterrizado
101,Laurens,Safell,70803,FR56,FirstClass,Aterrizado
102,Jeddy,Wigfield,86468,HY45,ExecutiveClass,Aterrizado
104,Margi,Holgan,10852,BR34,ExecutiveClass,Aterrizado
110,Lombard,Pieroni,46748,MM09,FirstClass,Aterrizado
111,Jonathon,Faint,94721,MM09,FirstClass,Aterrizado
131,Loretta,Carlill,88180,GU23,ExecutiveClass,Aterrizado
133,Shirley,McManus,24908,MM09,ExecutiveClass,Aterrizado
142,Stesha,Milch,77733,BA24,ExecutiveClass,Aterrizado
143,Russ,Yashaev,26224,BR34,FirstClass,Aterrizado
144,Cleo,Tremoille,85595,IB08,ExecutiveClass,Aterrizado
177,Ewan,Bedward,94252,HY45,FirstClass,Aterrizado
179,Reagan,Kopec,58092,TU67,FirstClass,Aterrizado
181,Garvy,Westhofer,90456,BR34,ExecutiveClass,Aterrizado
184,Helge,Dimitresco,22168,HY45,ExecutiveClass,Aterrizado
187,Amalia,Houltham,56359,IB08,ExecutiveClass,Aterrizado
194,Barthel,Miner,84004,BA24,ExecutiveClass,Aterrizado
199,Livvie,Senecaux,56976,HY45,FirstClass,Aterrizado
200,Emlen,Ilsley,49861,IB08,FirstClass,Aterrizado
202,Nadiya,Southouse,79097,MM09,ExecutiveClass,Aterrizado
209,Aguie,Phillps,90879,FR56,ExecutiveClass,Aterrizado
218,Maynard,Peyro,73689,IB08,ExecutiveClass,Aterrizado
227,Friederike,Childers,97756,FR56,ExecutiveClass,Aterrizado
229,Kathrine,Krollmann,73500,BA24,FirstClass,Aterrizado
230,Peta,Romera,46158,GU23,FirstClass,Aterrizado
232,Cymbre,Overall,33732,GU23,ExecutiveClass,Aterrizado
236,Rahel,Ringrose,99825,HY45,ExecutiveClass,Aterrizado
238,Demetrius,Biagi,36574,BA24,FirstClass,Aterrizado
240,Murial,Storres,41085,GU23,FirstClass,Aterrizado
243,Carley,Bolf,58653,MM09,FirstClass,Aterrizado
253,Gianni,Skillman,65108,FR56,FirstClass,Aterrizado
258,Morgan,Tesyro,65289,IB08,ExecutiveClass,Aterrizado
261,Krishnah,Smales,81465,GU23,ExecutiveClass,Aterrizado
266,Eileen,Yakov,94022,MM09,FirstClass,Aterrizado
268,Urbanus,Mackerness,14886,BA24,FirstClass,Aterrizado
272,Hershel,Lighton,35717,BR34,ExecutiveClass,Aterrizado
273,Hammad,Whartonby,68744,GU23,ExecutiveClass,Aterrizado
278,Deloris,Becks,15979,IB08,ExecutiveClass,Aterrizado
279,Jodie,Pahl,82965,HY45,ExecutiveClass,Aterrizado
290,Laureen,Syfax,13298,GU23,ExecutiveClass,Aterrizado
291,Thaddus,Featherstone,33709,TU67,ExecutiveClass,Aterrizado
292,Leicester,Cholomin,29149,HY45,FirstClass,Aterrizado
293,Fanny,O'Carran,88432,BR34,ExecutiveClass,Aterrizado
294,Pamelina,Berisford,51597,MM09,ExecutiveClass,Aterrizado
299,Lolita,Thatcham,88019,FR56,FirstClass,Aterrizado
305,Adriana,Gercken,31575,HY45,FirstClass,Aterrizado
310,Ketty,Eisikowitch,86373,BA24,ExecutiveClass,Aterrizado
313,Tomlin,Lynn,44333,GU23,FirstClass,Aterrizado
321,Laryssa,Laughlan,60380,BR34,FirstClass,Aterrizado
324,Corie,Lovat,24178,TU67,ExecutiveClass,Aterrizado
325,Phip,Horning,32058,GU23,FirstClass,Aterrizado
328,Neysa,Ivashechkin,10493,GU23,ExecutiveClass,Aterrizado
329,Esmeralda,Ludmann,70917,BA24,ExecutiveClass,Aterrizado
336,Lilas,Palister,36611,BA24,FirstClass,Aterrizado
339,Gauthier,O'Kennavain,21897,BA24,ExecutiveClass,Aterrizado
340,Abbey,Fancett,39753,BR34,ExecutiveClass,Aterrizado
342,Fina,Tackle,71247,HY45,ExecutiveClass,Aterrizado
344,Blaire,Zwicker,35972,HY45,ExecutiveClass,Aterrizado
347,Cristine,Sutherel,68109,IB08,FirstClass,Aterrizado
