id,name,lastname,price,flycode,typePassenger,statusFlight
1,Clara,Pourveer,39387,FR56,ExecutiveClass,Demorado
2,Siana,Kalkhoven,29066,BA24,EconomyClass,En Horario
3,Codee,Brunet,13325,FR56,ExecutiveClass,Demorado
4,Janifer,Sumpton,28596,BR34,FirstClass,Demorado
5,Barret,Pagen,58368,GU23,FirstClass,Demorado
6,Caddric,Delgado,64590,TU67,ExecutiveClass,Aterrizado
7,Mikkel,Frederick,49974,TU67,FirstClass,Aterrizado
8,Archibold,Goodie,89076,BR34,EconomyClass,Demorado
9,Nichol,Marval,11634,GU23,EconomyClass,Demorado
10,Aurora,Bonsul,34990,MM09,FirstClass,En Horario
11,Marris,Rookesby,57203,MM09,FirstClass,En Horario
12,Anita,Vanne,63672,FR56,ExecutiveClass,En Horario
13,Ingunna,Gladtbach,72531,IB08,FirstClass,Aterrizado
14,Peyter,Atrill,53011,MM09,ExecutiveClass,Demorado
15,Dyna,Matthew,92038,MM09,EconomyClass,En Horario
16,Isidore,Mulvenna,29854,GU23,FirstClass,Aterrizado
17,Zorah,Kennealy,65711,BA24,FirstClass,Aterrizado
18,Berget,Lerigo,14120,MM09,ExecutiveClass,Aterrizado
19,Consuela,Kevern,25041,TU67,EconomyClass,Aterrizado
20,Brandi,Corbitt,74308,GU23,ExecutiveClass,Demorado
21,Tibold,Hellings,51271,GU23,ExecutiveClass,Demorado
22,Margi,Overthrow,34655,BR34,ExecutiveClass,Aterrizado
23,Hasty,Christoffe,44177,FR56,FirstClass,Demorado
24,Esma,Whebell,77976,BR34,FirstClass,Aterrizado
25,Gleda,Renard,84762,BR34,FirstClass,En Horario
26,Wanda,Rounding,88913,TU67,FirstClass,En Horario
27,Benedick,Rowlands,25507,GU23,FirstClass,Aterrizado
28,Gertruda,Keuning,75875,BA24,FirstClass,En Horario
29,Marti,Aiers,89527,MM09,ExecutiveClass,En Horario
30,Juline,Melhuish,68290,BR34,FirstClass,Aterrizado
31,Vikki,Braunstein,10922,MM09,FirstClass,Aterrizado
32,Teodoor,Haucke,41999,FR56,ExecutiveClass,Demorado
33,Edan,Hankard,77488,TU67,FirstClass,Aterrizado
34,Hewie,D'Antonio,53755,HY45,EconomyClass,Aterrizado
35,Jojo,Danell,43506,BA24,ExecutiveClass,Demorado
36,Rodolfo,Broomhall,52848,FR56,ExecutiveClass,En Horario
37,Yuma,Raiman,58536,BR34,EconomyClass,Aterrizado
38,Neron,Monks,80522,IB08,EconomyClass,Aterrizado
39,Eugenius,Entres,30899,HY45,EconomyClass,Aterrizado
40,Petronilla,Oxborrow,91094,TU67,FirstClass,Aterrizado
41,Alasteir,Coom,60644,GU23,FirstClass,Aterrizado
42,Athena,Dudding,23680,IB08,ExecutiveClass,Aterrizado
43,Mia,McKearnen,74642,FR56,EconomyClass,Aterrizado
44,Xavier,Crookshanks,83098,IB08,EconomyClass,Aterrizado
45,Renae,Forbes,48423,FR56,EconomyClass,Demorado
46,Jerrie,Simeoli,11961,FR56,EconomyClass,En Horario
47,Maggee,Curnow,59295,IB08,EconomyClass,Demorado
48,Elvis,Fipp,65708,FR56,ExecutiveClass,Aterrizado
49,Linzy,Sendley,60612,GU23,ExecutiveClass,Demorado
50,Portie,Cruwys,85333,BR34,ExecutiveClass,Demorado
51,Lexis,Blueman,12068,HY45,FirstClass,Aterrizado
